Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,30/06/2023,23:00,Platense,Lanus,2.96,2.89,2.87,3.05,3.05,2.93,2.86,2.88,2.76
Argentina,Liga Profesional,01/07/2023,01:30,Atl. Tucuman,Union de Santa Fe,2.15,3.15,3.97,2.18,3.25,4,2.12,3.09,3.77
Argentina,Liga Profesional,01/07/2023,01:30,Velez Sarsfield,Arsenal Sarandi,1.75,3.33,6.09,1.77,3.5,6.3,1.73,3.31,5.59
Argentina,Liga Profesional,01/07/2023,19:00,Barracas Central,River Plate,7.29,4.64,1.46,8,4.75,1.5,6.91,4.42,1.45
Argentina,Liga Profesional,01/07/2023,21:30,San Lorenzo,Rosario Central,1.91,3.1,5.3,2,3.23,5.4,1.91,3.08,4.73
Argentina,Liga Profesional,01/07/2023,23:00,Estudiantes L.P.,Central Cordoba,1.58,3.95,6.3,1.61,4.1,7,1.56,3.85,6.22
Argentina,Liga Profesional,02/07/2023,01:30,Talleres Cordoba,Godoy Cruz,1.8,3.49,5.15,1.86,3.51,5.3,1.81,3.39,4.73
Argentina,Liga Profesional,02/07/2023,19:00,Independiente,Huracan,2.44,2.95,3.39,2.57,3.05,3.45,2.43,2.93,3.23
Argentina,Liga Profesional,02/07/2023,21:00,Colon Santa Fe,Racing Club,2.45,3.18,3.12,2.54,3.4,3.2,2.43,3.15,3.01
Argentina,Liga Profesional,02/07/2023,23:00,Instituto,Belgrano,2.26,3.01,3.71,2.32,3.1,3.77,2.25,2.96,3.55
Argentina,Liga Profesional,02/07/2023,23:30,Banfield,Argentinos Jrs,3.4,3.01,2.39,3.45,3.1,2.45,3.25,2.98,2.38
Argentina,Liga Profesional,02/07/2023,23:30,Defensa y Justicia,Tigre,2.04,3.24,4.03,2.15,3.4,4.2,2.06,3.21,3.76
Argentina,Liga Profesional,03/07/2023,01:30,Boca Juniors,Sarmiento Junin,1.74,3.37,5.71,1.77,3.55,5.9,1.74,3.34,5.39
Argentina,Liga Profesional,04/07/2023,00:00,Newells Old Boys,Gimnasia L.P.,1.91,3.08,5.06,1.96,3.3,5.2,1.89,3.12,4.67
Brazil,Serie A,01/07/2023,20:00,Sao Paulo,Fluminense,2.27,3.28,3.53,2.3,3.42,3.58,2.22,3.19,3.36
Brazil,Serie A,01/07/2023,22:30,Bahia,Gremio,2.51,3.43,2.97,2.55,3.47,3,2.44,3.32,2.85
Brazil,Serie A,01/07/2023,22:30,Flamengo RJ,Fortaleza,1.89,3.73,4.3,1.91,3.94,4.81,1.82,3.67,4.21
Brazil,Serie A,02/07/2023,01:00,Internacional,Cruzeiro,2.16,3.3,3.81,2.19,3.36,3.81,2.11,3.23,3.57
Brazil,Serie A,02/07/2023,15:00,Corinthians,Bragantino,2.56,3.17,3.11,2.6,3.2,3.11,2.47,3.08,2.99
Brazil,Serie A,02/07/2023,20:00,Athletico-PR,Palmeiras,3.19,3.27,2.45,3.21,3.35,2.47,3.05,3.22,2.36
Brazil,Serie A,02/07/2023,20:00,Atletico-MG,America MG,1.53,4.33,6.83,1.55,4.33,7.1,1.5,4.11,6.48
Brazil,Serie A,02/07/2023,20:00,Botafogo RJ,Vasco,1.76,3.67,5.22,1.78,3.75,5.3,1.72,3.61,4.84
Brazil,Serie A,02/07/2023,22:30,Cuiaba,Santos,2.23,3.08,3.93,2.28,3.11,3.99,2.19,3.02,3.62
Brazil,Serie A,04/07/2023,00:00,Goias,Coritiba,2.06,3.33,4.02,2.1,3.4,4.1,2.03,3.25,3.8
China,Super League,02/07/2023,10:30,Shanghai Shenhua,Tianjin Jinmen Tiger,1.96,3.23,4.26,2.02,3.4,4.5,1.91,3.19,4.19
China,Super League,02/07/2023,12:35,Cangzhou,Zhejiang Professional,3.33,3.58,2.1,3.4,3.69,2.15,3.23,3.48,2.09
China,Super League,02/07/2023,12:35,Dalian Pro,Qingdao Hainiu,2.08,3.47,3.49,2.15,3.58,3.5,2.07,3.37,3.37
China,Super League,02/07/2023,12:35,Nantong Zhiyun,Meizhou Hakka,2.42,3.12,3.1,2.46,3.3,3.11,2.35,3.13,3.01
China,Super League,03/07/2023,12:35,Changchun Yatai,Henan Songshan Longmen,2.41,3.3,2.96,2.41,3.41,3.01,2.32,3.31,2.96
China,Super League,03/07/2023,12:35,Chengdu Rongcheng,Beijing Guoan,2.14,3.69,3.14,2.19,3.75,3.31,2.12,3.55,3.15
China,Super League,03/07/2023,12:35,Shandong Taishan,Shanghai Port,2.62,3.42,2.62,2.65,3.57,2.66,2.56,3.41,2.57
China,Super League,03/07/2023,12:35,Shenzhen,Wuhan Three Towns,16.22,9,1.12,25,11.3,1.12,19.49,9.27,1.1
Finland,Veikkausliiga,01/07/2023,12:00,Honka,HJK,3.7,3.17,2.26,3.7,3.3,2.26,3.49,3.11,2.16
Finland,Veikkausliiga,01/07/2023,15:00,AC Oulu,Haka,2.17,3.51,3.54,2.25,3.51,3.54,2.12,3.36,3.33
Finland,Veikkausliiga,01/07/2023,15:00,Ilves,SJK,2.93,3.24,2.65,2.94,3.28,2.65,2.82,3.13,2.52
Finland,Veikkausliiga,01/07/2023,15:00,VPS,Inter Turku,3.24,3.49,2.31,3.25,3.49,2.36,3.1,3.29,2.25
Finland,Veikkausliiga,01/07/2023,16:30,Mariehamn,KTP,2.59,3.58,2.76,2.59,3.65,2.83,2.45,3.4,2.71
Finland,Veikkausliiga,01/07/2023,17:00,Lahti,KuPS,6.16,3.83,1.65,6.5,3.83,1.67,5.68,3.61,1.62
Ireland,Premier Division,30/06/2023,19:45,Cork City,Drogheda,2.32,3.43,3.22,2.4,3.5,3.26,2.27,3.3,3.05
Ireland,Premier Division,30/06/2023,19:45,Dundalk,Shamrock Rovers,3.92,3.73,1.95,4.15,3.86,1.99,3.83,3.58,1.88
Ireland,Premier Division,30/06/2023,19:45,Shelbourne,Derry City,3.52,3.1,2.34,3.8,3.31,2.38,3.4,3.03,2.23
Ireland,Premier Division,30/06/2023,19:45,Sligo Rovers,Bohemians,3.56,3.19,2.28,3.8,3.26,2.28,3.4,3.1,2.2
Ireland,Premier Division,30/06/2023,19:45,St. Patricks,UC Dublin,1.13,9.76,20.12,1.15,10,23.46,1.12,8.65,18.24
Japan,J1 League,30/06/2023,11:00,Cerezo Osaka,Avispa Fukuoka,2.36,3.14,3.5,2.36,3.37,4.08,2.25,3.1,3.39
Japan,J1 League,01/07/2023,10:00,Albirex Niigata,Sanfrecce Hiroshima,4.34,3.85,1.85,4.34,3.85,1.91,4.06,3.63,1.84
Japan,J1 League,01/07/2023,10:00,Kashima Antlers,Kyoto,1.72,3.77,5.42,1.74,3.8,5.42,1.69,3.63,5.05
Japan,J1 League,01/07/2023,10:00,Nagoya Grampus,Kawasaki Frontale,2.55,3.29,3.02,2.55,3.33,3.1,2.47,3.2,2.88
Japan,J1 League,01/07/2023,10:30,Yokohama FC,Gamba Osaka,3.99,3.8,1.94,4.02,3.84,1.95,3.81,3.65,1.89
Japan,J1 League,01/07/2023,11:00,FC Tokyo,Kashiwa Reysol,2.02,3.61,3.88,2.02,3.61,4,1.97,3.45,3.76
Japan,J1 League,01/07/2023,11:00,Sagan Tosu,Urawa Reds,3.72,3.41,2.14,3.72,3.55,2.19,3.46,3.33,2.1
Japan,J1 League,01/07/2023,11:00,Vissel Kobe,Hokkaido Consadole Sapporo,2.02,4.04,3.49,2.03,4.1,3.5,1.98,3.84,3.33
Japan,J1 League,02/07/2023,11:00,Yokohama F. Marinos,Shonan Bellmare,1.49,5.13,6.08,1.5,5.25,6.2,1.46,4.84,5.71
Mexico,Liga MX,01/07/2023,02:00,Club America,Juarez,1.42,5.13,7.41,1.44,5.2,8,1.39,4.72,7.22
Mexico,Liga MX,01/07/2023,02:00,Mazatlan FC,Pachuca,4.47,4.19,1.76,4.65,4.2,1.78,4.28,3.96,1.72
Mexico,Liga MX,01/07/2023,04:10,Club Tijuana,U.N.A.M.- Pumas,2.22,3.62,3.31,2.25,3.66,3.31,2.17,3.5,3.11
Mexico,Liga MX,02/07/2023,00:00,Atl. San Luis,Monterrey,3.86,3.52,2.06,3.9,3.55,2.07,3.61,3.39,2.01
Mexico,Liga MX,02/07/2023,02:00,U.A.N.L.- Tigres,Puebla,1.43,4.98,7.67,1.44,5.1,8.5,1.39,4.68,7.26
Mexico,Liga MX,02/07/2023,04:10,Atlas,Cruz Azul,2.15,3.39,3.74,2.16,3.48,3.77,2.09,3.31,3.49
Mexico,Liga MX,02/07/2023,19:00,Toluca,Necaxa,1.47,5.01,6.62,1.47,5.1,7.5,1.43,4.73,6.39
